Vulnerability Id,Vulnerable Class,Vulnerable Method
GHSA-cm59-pr5q-cw85,org/springframework/boot/web/server/AbstractConfigurableWebServerFactory,createTempDir
GHSA-xf96-w227-r7c4,org/springframework/boot/autoconfigure/web/servlet/WelcomePageHandlerMapping,
GHSA-vmq6-5m68-f53m,ch/qos/logback/classic/spi/LoggingEventVO,readObject
GHSA-rvwf-54qp-4r6v,org/yaml/snakeyaml/Yaml,loadFromReader
GHSA-rvwf-54qp-4r6v,org/yaml/snakeyaml/Yaml,loadAll
GHSA-rvwf-54qp-4r6v,org/yaml/snakeyaml/Yaml,composeAll
GHSA-3mc7-4q67-w48m,org/yaml/snakeyaml/composer,Composer
GHSA-3mc7-4q67-w48m,org/yaml/snakeyaml/LoaderOptions,
GHSA-mjmj-j48q-9wg2,org/yaml/snakeyaml/constructor/Constructor,
GHSA-g5h3-w546-pj7f,org/springframework/boot/actuate/autoconfigure/cloudfoundry/reactive/CloudFoundryWebFluxEndpointHandlerMapping,
GHSA-g5h3-w546-pj7f,org/springframework/boot/actuate/autoconfigure/cloudfoundry/reactive/ReactiveCloudFoundryActuatorAutoConfiguration,
GHSA-g5h3-w546-pj7f,org/springframework/boot/actuate/autoconfigure/cloudfoundry/servlet/CloudFoundryActuatorAutoConfiguration,
GHSA-g5h3-w546-pj7f,org/springframework/boot/actuate/autoconfigure/cloudfoundry/servlet/CloudFoundryWebEndpointServletHandlerMapping,
GHSA-36p3-wjmg-h94x,N/A,
GHSA-j39c-c8hj-x4j3,org/apache/coyote/AbstractProtocol,process
GHSA-jgwr-3qm3-26f3,org/apache/catalina/session/FileStore,file
GHSA-jgwr-3qm3-26f3,org/apache/catalina/servlets/DefaultServlet,validateGlobalXsltFile
GHSA-fccv-jmmp-qg76,org/apache/catalina/connector/Request,
GHSA-fccv-jmmp-qg76,org/apache/catalina/connector/InputBuffer,realReadBytes
GHSA-hfrx-6qgj-fp6c,org/apache/commons/fileupload/FileUploadBase,parseRequest
GHSA-p22x-g9px-3945,org/apache/coyote/http11/Http11InputBuffer,parseHeader
GHSA-wm9w-rjj3-j356,org/apache/coyote/http2/Http2UpgradeHandler,decrementActiveRemoteStreamCount
GHSA-wxqc-pxw9-g2p8,org/springframework/expression/spel/standard/InternalSpelExpressionParser,doParseExpression
GHSA-55g7-9cwv-5qfv,org/xerial/snappy/SnappyInputStream,hasNextChunk
GHSA-qcwq-55hx-v3vh,org/xerial/snappy/SnappyInputStream,hasNextChunk
GHSA-mmmh-wcxm-2wr4,N/A,
GHSA-f3jh-qvm4-mg39,org/springframework/security/access/vote/AuthenticatedVoter,isFullyAuthenticated
GHSA-3h6f-g5f3-gc4w,org/springframework/security/config/web/server/AbstractServerWebExchangeMatcherRegistry,pathMatchers
GHSA-3h6f-g5f3-gc4w,org/springframework/security/config/web/server/ServerHttpSecurity,getPathPatternParser
GHSA-4wrc-f8pq-fpqp,org/springframework/remoting/caucho/SimpleHessianServiceExporter,
GHSA-2wrp-6fg6-hmc5,org/springframework/web/util/UriComponentsBuilder,
GHSA-ccgv-vj62-xf9h,org/springframework/web/util/UriComponentsBuilder,
GHSA-hgjh-9rj2-g67j,org/springframework/web/util/UriComponentsBuilder,
CVE-2022-40152,com/ctc/wstx/dtd/FullDTDReader,readContentSpec
CVE-2021-26291,org/apache/maven/internal/aether/DefaultRepositorySystemSessionFactory,newRepositorySession
CVE-2021-26291,org/apache/maven/repository/DefaultMirrorSelector,isExternalRepo
CVE-2022-25647,com/google/gson/internal/LazilyParsedNumber,writeReplace
CVE-2022-25647,com/google/gson/internal/StringMap,writeReplace
CVE-2020-25649,com/fasterxml/jackson/databind/ext/DOMDeserializer,
CVE-2020-36518,com/fasterxml/jackson/databind/ext/DOMDeserializer,
CVE-2022-42003,com/fasterxml/jackson/databind/deser/std/StdDeserializer,_deserializeWrappedValue
CVE-2022-42004,com/fasterxml/jackson/databind/deser/BeanDeserializer,_deserializeFromArray
CVE-2021-46877,com/fasterxml/jackson/databind/node/NodeSerialization,readExternal
CVE-2023-44981,org/apache/zookeeper/server/quorum/auth/SaslQuorumServerCallbackHandler,
CVE-2021-37136,io/netty/handler/codec/compression/Bzip2Decoder,decode
CVE-2021-37137,io/netty/handler/codec/compression/SnappyFrameDecoder,decode
CVE-2023-3635,okio/GzipSource,consumeHeader
CVE-2019-12402,org/apache/commons/compress/archivers/zip/NioZipEncoding,encode
CVE-2021-35515,org/apache/commons/compress/archivers/sevenz/Folder,
CVE-2021-35516,org/apache/commons/compress/archivers/sevenz/SevenZFile,
CVE-2021-35517,org/apache/commons/compress/archivers/tar/TarUtils,
CVE-2021-35517,org/apache/commons/compress/archivers/tar/TarFile,
CVE-2021-35517,org/apache/commons/compress/archivers/tar/TarArchiveInputStream,
CVE-2021-36090,org/apache/commons/compress/archivers/zip/ZipArchiveInputStream,
CVE-2022-36944,src/library/scala/collection/immutable/LazyList,writeObject
CVE-2022-36944,src/library/scala/collection/immutable/LazyList,readObject
CVE-2022-27772,org/springframework/boot/web/server/AbstractConfigurableWebServerFactory,createTempDir
CVE-2023-20883,org/springframework/boot/autoconfigure/web/servlet/WelcomePageHandlerMapping,
CVE-2023-6378,ch/qos/logback/classic/spi/LoggingEventVO,readObject
CVE-2017-18640,org/yaml/snakeyaml/Yaml,loadFromReader
CVE-2017-18640,org/yaml/snakeyaml/Yaml,loadAll
CVE-2017-18640,org/yaml/snakeyaml/Yaml,composeAll
CVE-2022-1471,org/yaml/snakeyaml/constructor/Constructor,
CVE-2022-25857,org/yaml/snakeyaml/composer,Composer
CVE-2022-25857,org/yaml/snakeyaml/LoaderOptions,
CVE-2023-20873,org/springframework/boot/actuate/autoconfigure/cloudfoundry/reactive/CloudFoundryWebFluxEndpointHandlerMapping,
CVE-2023-20873,org/springframework/boot/actuate/autoconfigure/cloudfoundry/reactive/ReactiveCloudFoundryActuatorAutoConfiguration,
CVE-2023-20873,org/springframework/boot/actuate/autoconfigure/cloudfoundry/servlet/CloudFoundryActuatorAutoConfiguration,
CVE-2023-20873,org/springframework/boot/actuate/autoconfigure/cloudfoundry/servlet/CloudFoundryWebEndpointServletHandlerMapping,
CVE-2023-34040,org/springframework/kafka/listener/KafkaMessageListenerContainer,
CVE-2023-25194,org/apache/kafka/common/security/JaasContext,load
CVE-2023-34453,org/xerial/snappy/BitShuffle,shuffle
CVE-2023-34454,org/xerial/snappy/Snappy,compress
CVE-2023-34454,org/xerial/snappy/Snappy,rawCompress
CVE-2023-34455,org/xerial/snappy/SnappyInputStream,hasNextChunk
CVE-2023-34034,org/springframework/security/config/web/server/AbstractServerWebExchangeMatcherRegistry,pathMatchers
CVE-2023-34034,org/springframework/security/config/web/server/ServerHttpSecurity,getPathPatternParser
CVE-2022-31692,org/springframework/security/web/access/intercept/AuthorizationFilter,
CVE-2016-1000027,org/springframework/remoting/caucho/SimpleHessianServiceExporter,
CVE-2023-20860,org/springframework/web/servlet/handler/HandlerMappingIntrospector,
CVE-2023-20860,org/springframework/web/servlet/handler/PathPatternMatchableHandlerMapping,
CVE-2023-2976,com/google/common/io/FileBackedOutputStream,
